City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
486,Darnah,LY,68.59,clear sky,32.767,22.6367,فندق الفردوس
487,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
491,Mitsamiouli,KM,81.12,light rain,-11.3847,43.2844,Foyer ADM
492,Palauig,PH,80.83,light rain,15.435,119.9045,Alperi Botique Resort
498,Waingapu,ID,77.02,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
499,Banjar,ID,77.31,overcast clouds,-8.19,114.9675,The Hamsa Resort
500,Les Cayes,HT,84.74,overcast clouds,18.2,-73.75,Villa Orphee
501,Kavaratti,IN,83.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
502,Monte Santo De Minas,BR,70.99,clear sky,-21.1897,-46.9803,Fazenda Poço Vermelho
505,Cairns,AU,73.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
507,Vallenar,CL,79.3,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
508,Obo,CF,70.99,moderate rain,5.3998,26.4869,
509,Corinto,GR,75.88,clear sky,37.9407,22.9573,Ephira Hotel
513,Daru,PG,80.44,broken clouds,-9.0763,143.2092,Daru Lodge
514,Colares,PT,66.33,light intensity drizzle,38.7992,-9.4469,Arribas Sintra Hotel
515,Bardiyah,LY,67.86,clear sky,31.7561,25.0865,بورتو بردية
523,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Hotel Marilu
528,Kampong Thum,KH,76.51,overcast clouds,12.7111,104.8887,Sambor Village Hotel
530,Pouembout,NC,73.15,broken clouds,-21.1333,164.9,Camping de Tipenga
535,Kuching,MY,79.02,scattered clouds,1.55,110.3333,Hilton Kuching
536,Pisco,PE,67.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
537,Rafaela,AR,77.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
539,Lubao,PH,79.14,overcast clouds,14.9167,120.55,Hacienda Gracia
540,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
542,Kiunga,PG,72.88,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
543,Rio Tercero,AR,74.8,scattered clouds,-32.173,-64.1141,Hospedaje Las Violetas
552,Arona,ES,68.52,few clouds,28.0996,-16.681,Paradise Court
555,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
557,Otukpo,NG,78.55,overcast clouds,7.1913,8.1329,Queen s Hotel
558,Kerouane,GN,75.38,light rain,9.2667,-9.0167,Hotel Seka Seka
559,Mogadishu,SO,80.78,overcast clouds,2.0371,45.3438,Hotel Juba
561,Jaen,ES,79.43,overcast clouds,38.0,-3.5,Hotel TRH Baeza
565,Elhovo,BG,72.01,broken clouds,42.1667,26.5667,"Хотелски комплекс ""Колхида"""
566,Ouesso,CG,73.83,overcast clouds,1.6136,16.0517,ABENIE Hotel
567,North Platte,US,66.09,few clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
568,Bambanglipuro,ID,77.9,overcast clouds,-7.95,110.2833,Puri Brata
572,Indramayu,ID,80.51,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
573,Makaha,US,80.51,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
574,San-Pedro,CI,74.79,overcast clouds,4.7485,-6.6363,Hotel Maria
575,Boende,CD,78.85,broken clouds,-0.2167,20.8667,
576,Bonthe,SL,79.39,moderate rain,7.5264,-12.505,Bonthe Holiday Village
579,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
587,Turayf,SA,73.65,broken clouds,31.6725,38.6637,Turaif
588,Alexandria,EG,69.17,clear sky,31.2156,29.9553,Royal Crown Hotel
590,Sao Cristovao,BR,82.31,scattered clouds,-11.0147,-37.2064,Hotel deimar
591,Peniche,PT,65.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
592,Lorengau,PG,82.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
593,Mushie,CD,76.44,light rain,-3.0167,16.9,
598,Olbia,IT,77.05,clear sky,40.9214,9.4856,Hotel Maxim
606,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
607,Kanalion,GR,73.18,clear sky,39.6056,19.8925,Argo Hotel
608,Ipameri,BR,79.11,few clouds,-17.7219,-48.1597,Real Hotel
