City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
137,Arraial Do Cabo,BR,-22.9661,-42.0278,71.65,69,0,14.54,clear sky
138,Lebu,CL,-37.6167,-73.65,53.2,92,100,10.96,overcast clouds
139,Uppsala,SE,60.0,17.75,56.64,35,0,12.66,clear sky
140,Yerbogachen,RU,61.2767,108.0108,45.7,94,84,1.45,broken clouds
141,Carutapera,BR,-1.195,-46.02,81.54,85,19,4.32,few clouds
142,Nyimba,ZM,-14.5566,30.8149,71.82,59,46,3.51,scattered clouds
143,Aztec,US,36.8222,-107.9929,72.48,25,98,3.0,overcast clouds
144,Nikolskoye,RU,59.7035,30.7861,53.49,54,1,2.21,clear sky
145,Pekalongan,ID,-6.8886,109.6753,78.8,80,72,4.45,broken clouds
146,Samarai,PG,-10.6167,150.6667,80.31,79,27,6.73,scattered clouds
147,Yakeshi,CN,49.2833,120.7333,54.77,47,29,10.78,scattered clouds
148,Constantine,DZ,36.365,6.6147,89.01,20,20,16.11,few clouds
149,Norman Wells,CA,65.282,-126.8329,43.66,55,84,3.89,broken clouds
150,Rocha,UY,-34.4833,-54.3333,65.62,49,9,4.29,clear sky
151,Provideniya,RU,64.3833,-173.3,47.12,49,100,9.66,overcast clouds
152,Barabinsk,RU,55.3571,78.357,52.05,75,100,8.7,overcast clouds
153,Severo-Kurilsk,RU,50.6789,156.125,40.84,96,98,15.73,overcast clouds
154,Khorixas,NA,-20.3667,14.9667,66.0,15,0,12.1,clear sky
155,Bilma,NE,18.6853,12.9164,94.19,8,14,7.4,few clouds
156,San Cristobal,VE,7.7669,-72.225,84.25,40,15,9.75,few clouds
157,Abonnema,NG,4.7084,6.7931,77.79,85,95,6.49,light rain
158,Lakes Entrance,AU,-37.8811,147.981,40.15,89,9,4.68,clear sky
159,Moree,AU,-29.4667,149.85,56.35,80,100,5.19,overcast clouds
160,East London,ZA,-33.0153,27.9116,58.14,94,0,4.61,clear sky
161,Winslow,US,35.0242,-110.6974,77.18,18,0,8.05,clear sky
162,Guymon,US,36.6828,-101.4816,62.6,27,100,8.05,overcast clouds
163,Opunake,NZ,-39.4556,173.8583,49.84,73,54,15.77,broken clouds
164,Soc Trang,VN,9.6033,105.98,78.26,87,100,4.07,overcast clouds
165,Nouakchott,MR,18.0858,-15.9785,69.73,83,28,18.37,scattered clouds
166,Kodiak,US,57.79,-152.4072,45.95,83,92,12.19,overcast clouds
167,Poum,NC,-20.2333,164.0167,77.97,82,71,12.5,broken clouds
168,Iqaluit,CA,63.7506,-68.5145,25.7,86,88,28.01,overcast clouds
169,Mareeba,AU,-17.0,145.4333,68.72,90,34,1.9,scattered clouds
170,Butaritari,KI,3.0707,172.7902,81.48,81,100,13.98,moderate rain
171,Ambanja,MG,-13.6833,48.45,75.4,92,97,2.53,light rain
172,Mabaruma,GY,8.2,-59.7833,81.7,75,88,6.26,overcast clouds
173,Saint George,US,37.1041,-113.5841,83.62,11,0,5.75,clear sky
174,Mutsu,JP,41.2894,141.2169,53.74,93,98,3.09,overcast clouds
175,Illapel,CL,-31.6308,-71.1653,71.64,37,60,4.79,broken clouds
176,Greenville,US,35.6127,-77.3663,85.12,66,0,10.36,clear sky
177,Fuyang,CN,32.9,115.8167,65.91,46,56,3.87,broken clouds
178,Santa Cruz,BO,-17.8,-63.1667,80.06,50,40,13.8,scattered clouds
179,Miastko,PL,54.0028,16.9826,52.66,72,78,6.35,broken clouds
180,Meulaboh,ID,4.1363,96.1285,78.1,86,100,1.66,overcast clouds
181,Janauba,BR,-15.8025,-43.3089,86.25,23,1,4.18,clear sky
182,Kabanjahe,ID,3.1001,98.4908,63.81,94,88,2.44,overcast clouds
183,Vardo,NO,70.3705,31.1107,37.38,93,75,16.11,broken clouds
184,Loa Janan,ID,-0.583,117.095,73.51,99,85,0.92,overcast clouds
185,Mount Gambier,AU,-37.8333,140.7667,40.91,93,75,3.44,fog
186,Duobao,CN,30.67,112.6895,65.03,89,63,5.1,broken clouds
187,Sola,VU,-13.8833,167.55,80.71,75,16,1.97,few clouds
188,Talnakh,RU,69.4865,88.3972,35.53,100,100,2.28,overcast clouds
189,Oparino,RU,59.8518,48.2783,32.77,98,100,7.16,light snow
190,Tessalit,ML,20.1986,1.0114,95.5,15,46,23.13,scattered clouds
191,Souillac,MU,-20.5167,57.5167,75.58,69,20,11.5,few clouds
192,Tefe,BR,-3.3542,-64.7114,86.11,74,75,4.61,broken clouds
193,Yenagoa,NG,4.9247,6.2642,77.02,89,80,4.32,moderate rain
194,Gondanglegi,ID,-7.7479,112.0132,74.75,91,89,3.09,overcast clouds
195,Russellville,US,35.2784,-93.1338,62.74,70,100,8.99,overcast clouds
196,Dunedin,NZ,-45.8742,170.5036,46.8,70,100,7.0,overcast clouds
197,Alofi,NU,-19.0595,-169.9187,79.81,70,18,14.72,few clouds
198,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,11.5,few clouds
199,Roald,NO,62.5833,6.1333,60.17,82,75,9.22,light rain
200,Tasiilaq,GL,65.6145,-37.6368,35.76,96,100,6.71,overcast clouds
